DCLXXVIII,678
2687,MMDCLXXXVII
,ERROR
170,CLXX
MCCLXXXIII,1283
1369,MCCCLXIX
CLXVIII,168
1481,MCDLXXXI
1725,MDCCXXV
MCCCLXXX,1380
MMDCCXX,2720
1425,MCDXXV
CCXLVII,247
DCLXXXIII,683
MMCCCXXX,2330
853,DCCCLIII
2693,MMDCXCIII
DCXXI,621
2932,MMCMXXXII
MCXXX,1130
MCCXXIX,1229
DCLXXXI,681
MMCDXXXI,2431
2396,MMCCCXCVI
1078,MLXXVIII
MMDCLXXXI,2681
XCIV,94
CDLXXII,472
MMDLXXXVI,2586
MDCXXV,1625
1038,MXXXVIII
2002,MMII
CDVI,406
2536,MMDXXXVI
MMDCCCXXIV,2824
MMDXXXII,2532
MDCCCLVI,1856
857,DCCCLVII
CCLXXXI,281
MMDCXC,2690
1268,MCCLXVIII
MCDLXXIX,1479
MDCCLXXII,1772
293,CCXCIII
504,DIV
DCXXXVIII,638
289,CCLXXXIX
2288,MMCCLXXXVIII
MMCDXXX,2430
30,XXX
LXXV,75
MCCCXCV,1395
371,CCCLXXI
1950,MCML
758,DCCLVIII
MCCLXXX,1280
MCMXXXVII,1937
MMCCXLV,2245
MMXXXIII,2033
XCVIII,98
181,CLXXXI
1077,MLXXVII
748,DCCXLVIII
MCLXVIII,1168
212,CCXII
MMCMVIII,2908
MCCXCIII,1293
MCML,1950
1947,MCMXLVII
MMDCCVII,2707
MMCDXLII,2442
MMCMXX,2920
255,CCLV
MLXVI,1066
MCMXLIX,1949
MMCCXLI,2241
DCCCLX,860
2660,MMDCLX
51,LI
1765,MDCCLXV
248,CCXLVIII
2085,MMLXXXV
460,CDLX
CMXCV,995
MMDCCXXII,2722
CCCXCVII,397
2875,MMDCCCLXXV
1941,MCMXLI
230,CCXXX
CDXXII,422
2728,MMDCCXXVIII
MMDCXXV,2625
2126,MMCXXVI
234,CCXXXIV
1087,MLXXXVII
MMDCCCXX,2820
1305,MCCCV
MXIV,1014
312,CCCXII
1773,MDCCLXXIII
1143,MCXLIII
153,CLIII
653,DCLIII
MDCCXX,1720
607,DCVII
MCCLXV,1265
XXV,25
341,CCCXLI
2629,MMDCXXIX
MCDXXXIV,1434
1545,MDXLV
,ERROR
2267,MMCCLXVII
MMDCCCLXXIII,2873
CDI,401
MDCCCXCV,1895
1969,MCMLXIX
MMDCCCLXVIII,2868
734,DCCXXXIV
LXXXIII,83
MMCCLXXI,2271
1482,MCDLXXXII
2436,MMCDXXXVI
MCCXXVIII,1228
90,XC
MDCCCI,1801
MCCCLXX,1370
1514,MDXIV
2083,MMLXXXIII
DCCCXXV,825
1153,MCLIII
MMCLXXI,2171
MCDXXX,1430
1228,MCCXXVIII
2124,MMCXXIV
MCXI,1111
MMDCCCLXXX,2880
2205,MMCCV
1868,MDCCCLXVIII
CMLII,952
1011,MXI
1523,MDXXIII
XIX,19
MMDCCXCV,2795
1016,MXVI
859,DCCCLIX
MMLXXXIII,2083
MMDLXXXIII,2583
1667,MDCLXVII
CCLXVII,267
1854,MDCCCLIV
CII,102
91,XCI
MCDXIII,1413
2140,MMCXL
1866,MDCCCLXVI
2498,MMCDXCVIII
DXCIV,594
CCXX,220
CCCLXXIII,373
DCLXIV,664
377,CCCLXXVII
38,XXXVIII
CCLXV,265
MDCCCLXXIV,1874
CMXLIX,949
DCXV,615
1981,MCMLXXXI
MMCCLXXVIII,2278
657,DCLVII
2251,MMCCLI
MMCLI,2151
MMDCCXLVIII,2748
MCLV,1155
110,CX
CCXLV,245
2050,MML
MCDXXXVIII,1438
1795,MDCCXCV
MDII,1502
MMDCCCXCI,2891
1910,MCMX
MLII,1052
2363,MMCCCLXIII
1704,MDCCIV
1273,MCCLXXIII
MMCCCLXXXV,2385
MDCXLV,1645
MDCLXXIV,1674
166,CLXVI
MDCCIV,1704
MCCLXXXVI,1286
1042,MXLII
DCXI,611
CCLXXVII,277
MMDCCXLIV,2744
MMXLII,2042
2655,MMDCLV
CDXVII,417
MMDCCCXVII,2817
2746,MMDCCXLVI
1267,MCCLXVII
MCDLXXXIV,1484
1777,MDCCLXXVII
7,VII
MCLXVII,1167
2330,MMCCCXXX
1215,MCCXV
2720,MMDCCXX
MMDLV,2555
1930,MCMXXX
1634,MDCXXXIV
202,CCII
MMCCXIV,2214
MCMI,1901
2590,MMDXC
CCCLXXVII,377
MDCCLXXIX,1779
XLIV,44
2936,MMCMXXXVI
DCCCLIX,859
1363,MCCCLXIII
509,DIX
1322,MCCCXXII
2285,MMCCLXXXV
532,DXXXII
MDXCVII,1597
MMDXCII,2592
MDXLII,1542
MMCXXX,2130
MMDCCXXIV,2724
394,CCCXCIV
MM,2000
1319,MCCCXIX
iiYH88HH       ,ERROR
MMCMLXXX,2980
690,DCXC
DXIV,514
1458,MCDLVIII
864,DCCCLXIV
2047,MMXLVII
CMII,902
2459,MMCDLIX
MMDL,2550
Cm,900
CDXXXII,432
426,CDXXVI
634,DCXXXIV
MDCCCLXXXIII,1883
1133,MCXXXIII
2127,MMCXXVII
2611,MMDCXI
MMCML,2950
CLII,152
CDXLIII,443
393,CCCXCIII
DCCXIV,714
LIX,59
MCLXI,1161
2021,MMXXI
MCCCXXXIII,1333
964,CMLXIV
2593,MMDXCIII
MXXVIII,1028
,ERROR
263,CCLXIII
2192,MMCXCII
2470,MMCDLXX
549,DXLIX
CCX,210
CDXLVIII,448
398,CCCXCVIII
MCXCII,1192
1383,MCCCLXXXIII
2131,MMCXXXI
MCXIV,1114
1823,MDCCCXXIII
MMCMLIV,2954
2152,MMCLII
291,CCXCI
LXXXIV,84
MMDCCCXIII,2813
1253,MCCLIII
MMDCCLXII,2762
2849,MMDCCCXLIX
CDXX,420
MMCMXXXV,2935
363,CCCLXIII
2443,MMCDXLIII
MDIV,1504
313,CCCXIII
MCCX,1210
CCCVI,306
CCCXII,312
CXXXI,131
DCXXXIII,633
1209,MCCIX
MMCXIII,2113
DXXIV,524
MMDCCLXXVI,2776
308,CCCVIII
968,CMLXVIII
543,DXLIII
233,CCXXXIII
MDCCCLXVII,1867
DLXI,561
MCLXXIV,1174
MCMLXXXVII,1987
MMDXXIX,2529
828,DCCCXXVIII
DCCCXI,811
1931,MCMXXXI
MLXII,1062
MMCCLXVI,2266
MMCL,2150
2576,MMDLXXVI
136,CXXXVI
MCMXXXV,1935
MMDCXXIV,2624
MMCLIX,2159
2858,MMDCCCLVIII
MDCCCXLI,1841
DXXII,522
648,DCXLVIII
LXXXII,82
2683,MMDCLXXXIII
1030,MXXX
MCCCLX,1360
XL,40
--34,ERROR
MMDCCLXI,2761
1869,MDCCCLXIX
2194,MMCXCIV
MMCMIX,2909
MMCMXXXI,2931
2702,MMDCCII
MMDLVIII,2558
MCXIII,1113
MMCDLXXIII,2473
MCXXXVI,1136
MCMLVIII,1958
MCCLXXVII,1277
MCMXXIII,1923
579,DLXXIX
2007,MMVII
1009,MIX
CCLXXXIX,289
MMDCC,2700
802,DCCCII
2118,MMCXVIII
MIX,1009
MCCLX,1260
XXXII,32
MCCCLXXI,1371
DCCLXXXI,781
CCCXLV,345
43,XLIII
MMCDLXV,2465
2918,MMCMXVIII
2955,MMCMLV
MMLXIV,2064
MCCCXLVII,1347
MMCXXXV,2135
2737,MMDCCXXXVII
781,DCCLXXXI
MMDCCCXCVI,2896
MMDCCCII,2802
MCXC,1190
2103,MMCIII
XX,20
2078,MMLXXVIII
2703,MMDCCIII
MCCLVI,1256
DCCCLXXXV,885
DCXXXII,632
MMDCCXXXI,2731
DCCCXX,820
1822,MDCCCXXII
MMLXVII,2067
MMDCVI,2606
2229,MMCCXXIX
MCCXXXII,1232
71,LXXI
MMDCXXVI,2626
649,DCXLIX
2187,MMCLXXXVII
1623,MDCXXIII
MMDLII,2552
1244,MCCXLIV
1462,MCDLXII
CM,900
1805,MDCCCV
MMCMLVIII,2958
MMDCCCXLIX,2849
2012,MMXII
MDCCXXXV,1735
1287,MCCLXXXVII
MDCCLXXV,1775
MMDCXCIX,2699
1435,MCDXXXV
DCCLXVII,767
MCLXXXII,1182
841,DCCCXLI
CCXXII,222
988,CMLXXXVIII
2572,MMDLXXII
955,CMLV
MMDCCCXLVIII,2848
MMCLXVI,2166
DXCVIII,598
 2345 ,MMCCCXLV
MMCCCXLIV,2344
DCCLXXXIV,784
1534,MDXXXIV
XCVI,96
MMCMXVII,2917
1156,MCLVI
132,CXXXII
2962,MMCMLXII
2804,MMDCCCIV
MMCMLXVI,2966
2387,MMCCCLXXXVII
XXVII,27
582,DLXXXII
MMCMLXXXVIII,2988
MCCCLXXXIV,1384
2048,MMXLVIII
MMCDLIV,2454
CCCXLIV,344
CCCXXVII,327
CMXXXIII,933
MCXXII,1122
425,CDXXV
MMCXXXVI,2136
MMDCCCLXXXV,2885
523,DXXIII
MMCCCLXXVI,2376
1373,MCCCLXXIII
MDCLXII,1662
1986,MCMLXXXVI
2810,MMDCCCX
2371,MMCCCLXXI
MXVII,1017
355,CCCLV
MMCDVII,2407
CMXLVIII,948
1155,MCLV
2150,MMCL
MDCCC,1800
CCCXV,315
1517,MDXVII
1051,MLI
797,DCCXCVII
148,CXLVIII
405,CDV
MMDCLXIX,2669
DXLIII,543
MDCCLI,1751
MMDCLXXII,2672
MMDCCXLIII,2743
MCMXLVII,1947
DCCXVIII,718
1066,MLXVI
XXXIII,33
2856,MMDCCCLVI
1940,MCMXL
CXXVII,127
1338,MCCCXXXVIII
1701,MDCCI
2402,MMCDII
MCCLVII,1257
DCXVI,616
778,DCCLXXVIII
DCCXV,715
910,CMX
MDXXVI,1526
1004,MIV
CMX,910
MMCCLVI,2256
1361,MCCCLXI
2202,MMCCII
MMCCCXXIX,2329
MDLXXIII,1573
MCLXXV,1175
CCCXCI,391
MDCXXVIII,1628
1691,MDCXCI
DLXXXVIII,588
891,DCCCXCI
474,CDLXXIV
MMDLXXXII,2582
2567,MMDLXVII
2617,MMDCXVII
MMCLXVII,2167
MCCLXIII,1263
MDCCLXI,1761
723,DCCXXIII
1607,MDCVII
2528,MMDXXVIII
2814,MMDCCCXIV
1680,MDCLXXX
MDCXXXIII,1633
2944,MMCMXLIV
1198,MCXCVIII
1727,MDCCXXVII
2589,MMDLXXXIX
2845,MMDCCCXLV
2151,MMCLI
2467,MMCDLXVII
,ERROR
MMDLXXI,2571
395,CCCXCV
334,CCCXXXIV
MMDCLXIII,2663
616,DCXVI
1053,MLIII
MDCXLII,1642
CCXCVII,297
DCXIII,613
125,CXXV
DLIX,559
XLI,41
CDLXXXVII,487
CDXXXVII,437
1308,MCCCVIII
DCCCLXXXVIII,888
MCDLXXIII,1473
CCCLXIX,369
524,DXXIV
2145,MMCXLV
529,DXXIX
MDCCCXCI,1891
1510,MDX
MMDCXII,2612
2835,MMDCCCXXXV
484,CDLXXXIV
MMXXX,2030
2307,MMCCCVII
MMCLVI,2156
CMXCVI,996
MMCCVII,2207
MDCLI,1651
1491,MCDXCI
MMCCXCVIII,2298
145,CXLV
MCMLXXVII,1977
MCCC,1300
2270,MMCCLXX
2394,MMCCCXCIV
MMDXXX,2530
MLXV,1065
687,DCLXXXVII
MMDC,2600
DCCCXC,890
1172,MCLXXII
CDLXXVI,476
2130,MMCXXX
1212,MCCXII
MCIX,1109
287,CCLXXXVII
2478,MMCDLXXVIII
680,DCLXXX
2044,MMXLIV
1076,MLXXVI
206,CCVI
375,CCCLXXV
2255,MMCCLV
MMCXXI,2121
DCLXXXVIII,688
MMCDLXXXII,2482
2373,MMCCCLXXIII
2077,MMLXXVII
2040,MMXL
1522,MDXXII
1789,MDCCLXXXIX
MDXXXVI,1536
1787,MDCCLXXXVII
714,DCCXIV
DCCIX,709
1117,MCXVII
MMDCCXIX,2719
DCCXLVII,747
159,CLIX
MDCCCXXXI,1831
XXXVI,36
DCCCLV,855
2921,MMCMXXI
MDCXCIII,1693
MMCMXXVII,2927
MCDLVII,1457
MMCCCLXXX,2380
2170,MMCLXX
2846,MMDCCCXLVI
1348,MCCCXLVIII
MDXXXI,1531
MCMXXVII,1927
MMCMXXVIII,2928
461,CDLXI
2493,MMCDXCIII
1389,MCCCLXXXIX
2195,MMCXCV
396,CCCXCVI
CMLXVIII,968
1167,MCLXVII
MCCCXCIV,1394
MCCCXLIII,1343
2030,MMXXX
935,CMXXXV
1093,MXCIII
2278,MMCCLXXVIII
2177,MMCLXXVII
1317,MCCCXVII
1889,MDCCCLXXXIX
MMCCLXXXIX,2289
CMIII,903
1311,MCCCXI
93,XCIII
MCCVI,1206
CMLXX,970
DCCCLXIII,863
1438,MCDXXXVIII
MMCDXXXVIII,2438
MCDLXIV,1464
2915,MMCMXV
MMDCCLXVII,2767
786,DCCLXXXVI
MDCCXCII,1792
1537,MDXXXVII
1302,MCCCII
1387,MCCCLXXXVII
MDCCXCV,1795
113,CXIII
MCCXC,1290
MDCCCXCIII,1893
229,CCXXIX
1573,MDLXXIII
MCMXIV,1914
606,DCVI
CDIX,409
1512,MDXII
2438,MMCDXXXVIII
1798,MDCCXCVIII
MMCMXXIV,2924
MMCMXLI,2941
2575,MMDLXXV
2716,MMDCCXVI
2974,MMCMLXXIV
DCL,650
DCLXX,670
MMLXXXV,2085
737,DCCXXXVII
DCLX,660
MMDXLIV,2544
MCCCXIX,1319
167,CLXVII
DCCXCIV,794
4,IV
2461,MMCDLXI
DLXIII,563
699,DCXCIX
MCCCLXV,1365
2971,MMCMLXXI
CCCLVIII,358
MCCCLXXXVIII,1388
2037,MMXXXVII
2458,MMCDLVIII
DCCLXXI,771
744,DCCXLIV
2227,MMCCXXVII
2235,MMCCXXXV
1236,MCCXXXVI
189,CLXXXIX
2829,MMDCCCXXIX
1769,MDCCLXIX
1213,MCCXIII
2987,MMCMLXXXVII
DCXCVIII,698
DCCCXLI,841
1548,MDXLVIII
MMCXXXVII,2137
2411,MMCDXI
1106,MCVI
CDXXXIX,439
2704,MMDCCIV
MMCCXXXIII,2233
1719,MDCCXIX
CDXII,412
99,XCIX
2460,MMCDLX
2965,MMCMLXV
2453,MMCDLIII
14,XIV
MMDCCCXCIV,2894
2088,MMLXXXVIII
DCCCLXII,862
350,CCCL
2451,MMCDLI
2210,MMCCX
CLXV,165
2523,MMDXXIII
CMLVI,956
CMXXVI,926
DCCCLVI,856
MMCCCLXVI,2366
MMDCCCXCV,2895
iii,3
1188,MCLXXXVIII
XLIII,43
MDCCXXIV,1724
MMCCCXLV,2345
MMDCCXCIII,2793
MMDCXXII,2622
795,DCCXCV
MDCCCXC,1890
MCDXXIII,1423
M,1000
MMCXLI,2141
601,DCI
2825,MMDCCCXXV
2911,MMCMXI
MMCCXLVI,2246
1894,MDCCCXCIV
MCMIII,1903
MCCCXLIV,1344
2322,MMCCCXXII
1207,MCCVII
2923,MMCMXXIII
356,CCCLVI
597,DXCVII
MMDCCCLXXXVIII,2888
CCLXXXIII,283
1542,MDXLII
MMCCLXXVII,2277
2879,MMDCCCLXXIX
MMDCCCLXVI,2866
2517,MMDXVII
1323,MCCCXXIII
1295,MCCXCV
702,DCCII
1385,MCCCLXXXV
MDCX,1610
1901,MCMI
1793,MDCCXCIII
2529,MMDXXIX
359,CCCLIX
13,XIII
174,CLXXIV
DCLXI,661
1346,MCCCXLVI
CMXXV,925
1877,MDCCCLXXVII
665,DCLXV
79,LXXIX
954,CMLIV
1603,MDCIII
1260,MCCLX
2045,MMXLV
MDLV,1555
2134,MMCXXXIV
MDCCXXIII,1723
1183,MCLXXXIII
MLXXXVI,1086
MMDCCCXIX,2819
MCCLXXI,1271
MDCCCXL,1840
MMDCLXXVI,2676
MCCXLVI,1246
MCCXLIII,1243
2964,MMCMLXIV
1914,MCMXIV
1059,MLIX
MCCXXX,1230
1131,MCXXXI
2756,MMDCCLVI
CCCXVI,316
MCCXXXIX,1239
DLXXXVI,586
2284,MMCCLXXXIV
MMDXXIV,2524
2774,MMDCCLXXIV
CCCIII,303
804,DCCCIV
2764,MMDCCLXIV
1800,MDCCC
MMCMLXV,2965
LXXXVI,86
911,CMXI
CDLVII,457
MMCCCXXII,2322
2837,MMDCCCXXXVII
1141,MCXLI
CCL,250
MCCCLVII,1357
2657,MMDCLVII
CMLXXIII,973
1650,MDCL
2860,MMDCCCLX
MMCMXVI,2916
MCCCXXXIV,1334
239,CCXXXIX
531,DXXXI
1492,MCDXCII
MMCCCXCI,2391
2560,MMDLX
1566,MDLXVI
2909,MMCMIX
265,CCLXV
1424,MCDXXIV
MMCCCXXXII,2332
MDCCLXVIII,1768
DCCXLVI,746
CCCXX,320
2844,MMDCCCXLIV
MMXLIV,2044
2291,MMCCXCI
MDCCLXXXVII,1787
MMXXII,2022
344,CCCXLIV
960,CMLX
2474,MMCDLXXIV
2650,MMDCL
CDLII,452
338,CCCXXXVIII
2256,MMCCLVI
CDLXVII,467
MMCCCXCII,2392
DXLI,541
CMLIV,954
2238,MMCCXXXVIII
DCCCLXXXIV,884
MCMXCVII,1997
CLXIII,163
832,DCCCXXXII
2410,MMCDX
928,CMXXVIII
2139,MMCXXXIX
MMDCXXXVIII,2638
2606,MMDCVI
MMCCLXXV,2275
CCLXXXVII,287
MMCDL,2450
MDCCCXXX,1830
1195,MCXCV
329,CCCXXIX
78,LXXVIII
2642,MMDCXLII
MMDCCCXC,2890
CCCV,305
MXLIX,1049
1417,MCDXVII
1815,MDCCCXV
CMLXIX,969
741,DCCXLI
MMDCCCLXXVIII,2878
MMDCCLVIII,2758
1060,MLX
2768,MMDCCLXVIII
MMDCLXXXII,2682
DCXLVII,647
MMDCCXVIII,2718
MMCDXXIX,2429
2426,MMCDXXVI
2317,MMCCCXVII
1728,MDCCXXVIII
1577,MDLXXVII
2169,MMCLXIX
735,DCCXXXV
MMCCXXIX,2229
MCCCXXVI,1326
1316,MCCCXVI
MMDLXXXVII,2587
CDXCIV,494
MCCCX,1310
MMDCCCI,2801
2537,MMDXXXVII
MMDCCCLXXXII,2882
MCDLIII,1453
MDCCLIII,1753
624,DCXXIV
CCCII,302
CMVIII,908
MMCV,2105
874,DCCCLXXIV
1664,MDCLXIV
MCDXXIX,1429
CCCXXXVII,337
784,DCCLXXXIV
776,DCCLXXVI
MMXCI,2091
MCCI,1201
2605,MMDCV
2788,MMDCCLXXXVIII
MMDCCCXXIX,2829
2296,MMCCXCVI
MMDCCCLVII,2857
2692,MMDCXCII
MMDCLXXVIII,2678
2739,MMDCCXXXIX
MMXII,2012
CDLXXVIII,478
1095,MXCV
CCCLXXXII,382
2046,MMXLVI
640,DCXL
MCIII,1103
MMXCIX,2099
2922,MMCMXXII
DCXXII,622
1761,MDCCLXI
2214,MMCCXIV
1990,MCMXC
MMCLII,2152
747,DCCXLVII
MMDXVII,2517
1630,MDCXXX
MMCMLXXVII,2977
MCCCXXVII,1327
1039,MXXXIX
DV,505
196,CXCVI
MMDCCCXLV,2845
MCMXXXVIII,1938
33,XXXIII
2886,MMDCCCLXXXVI
111,CXI
MDCCCXCVII,1897
275,CCLXXV
MMCIX,2109
2203,MMCCIII
767,DCCLXVII
MXXXV,1035
500,D
2668,MMDCLXVIII
MDCCLXXXII,1782
MDCCCXV,1815
2198,MMCXCVIII
799,DCCXCIX
MMCDXCVIII,2498
CCCLXX,370
2243,MMCCXLIII
DCCCXXXIX,839
MCDLXII,1462
MDCCCLXVIII,1868
MCMXCIII,1993
MDCCCXXXVIII,1838
MCXVIII,1118
19,XIX
848,DCCCXLVIII
803,DCCCIII
MMCXLVII,2147
627,DCXXVII
951,CMLI
1897,MDCCCXCVII
MCCLXVII,1267
1964,MCMLXIV
DLXXI,571
MMCCCXXVI,2326
MMCXXIII,2123
1052,MLII
MMCCXXIII,2223
613,DCXIII
2710,MMDCCX
1651,MDCLI
2111,MMCXI
MDCCCLXXXVIII,1888
2264,MMCCLXIV
515,DXV
MMCCCLXXXIII,2383
DCCXX,720
2162,MMCLXII
1,I
CMXXXI,931
1279,MCCLXXIX
DCCCLXXXIII,883
1451,MCDLI
1276,MCCLXXVI
MCXXXIX,1139
MCCCXCIX,1399
2223,MMCCXXIII
1921,MCMXXI
CMLXVI,966
MIII,1003
508,DVIII
1376,MCCCLXXVI
1508,MDVIII
MMCMLXXXVI,2986
2337,MMCCCXXXVII
  vi,6
MDCCLXXXIV,1784
DCCXCVIII,798
MMXCIV,2094
MMCLXXXIX,2189
MMDCCXCVIII,2798
600,DC
17,XVII
MDCCXV,1715
2538,MMDXXXVIII
MCCCLV,1355
MCXIX,1119
1526,MDXXVI
MMDLI,2551
895,DCCCXCV
2031,MMXXXI
DCCXXXVI,736
MMDCCXLII,2742
2779,MMDCCLXXIX
MDX,1510
2221,MMCCXXI
1820,MDCCCXX
639,DCXXXIX
DCCCXII,812
1532,MDXXXII
1955,MCMLV
2051,MMLI
DII,502
1054,MLIV
1504,MDIV
CCXLIV,244
MMDCXXIII,2623
573,DLXXIII
669,DCLXIX
MCCXCV,1295
559,DLIX
505,DV
MDXXIV,1524
1283,MCCLXXXIII
2036,MMXXXVI
DCCXL,740
,ERROR
MMCCCLX,2360
CXI,111
742,DCCXLII
MDCXVII,1617
CCCXXVIII,328
1229,MCCXXIX
MCDLXXVIII,1478
1683,MDCLXXXIII
158,CLVIII
92,XCII
MCCLXII,1262
MCXXXVIII,1138
CMXVIII,918
2382,MMCCCLXXXII
MDLXXXVIII,1588
2063,MMLXIII
2975,MMCMLXXV
MDCLXXXIX,1689
2209,MMCCIX
873,DCCCLXXIII
MMCCCXV,2315
868,DCCCLXVIII
XI,11
CCCLXXXIX,389
MMCCLXXXIII,2283
MCCXXI,1221
389,CCCLXXXIX
DCIV,604
1912,MCMXII
MMDCCCV,2805
599,DXCIX
MMCCCLXXVII,2377
2405,MMCDV
MDCLXIII,1663
1502,MDII
73,LXXIII
1609,MDCIX
CCLV,255
2725,MMDCCXXV
1835,MDCCCXXXV
1351,MCCCLI
1170,MCLXX
MMDCCLIX,2759
DCCLXXXVII,787
2867,MMDCCCLXVII
1992,MCMXCII
2813,MMDCCCXIII
MDXXXII,1532
MCLXXXVI,1186
MCMIV,1904
MCDV,1405
413,CDXIII
DCCXIX,719
2967,MMCMLXVII
MMCCC,2300
MCCIII,1203
LXXVII,77
969,CMLXIX
10,X
MCDXCII,1492
DIV,504
1538,MDXXXVIII
865,DCCCLXV
DLIII,553
MXLIII,1043
CMXXXVI,936
MMDVII,2507
2646,MMDCXLVI
256,CCLVI
1005,MV
149,CXLIX
MLXXII,1072
DCCCXVIII,818
1461,MCDLXI
MDCXC,1690
152,CLII
2032,MMXXXII
MMDCXXXIX,2639
DLXXVIII,578
MMCMXXV,2925
MMCCLVII,2257
1388,MCCCLXXXVIII
CDL,450
MMCMII,2902
332,CCCXXXII
MMV,2005
227,CCXXVII
MDCCLXVII,1767
MMCLXXIII,2173
CCCXCVI,396
MMDCCCLXXXI,2881
MCMLXII,1962
MMLXXXI,2081
MXXX,1030
1007,MVII
MMDCLXXXIX,2689
MMCDXLIII,2443
576,DLXXVI
MCMLXV,1965
1592,MDXCII
MMCCCXIX,2319
MDCCCVIII,1808
LXIV,64
MMDCCXVI,2716
CCXCIV,294
MDCCLXXXVI,1786
MMDCCCXXV,2825
1020,MXX
XXX,30
1140,MCXL
MLVIII,1058
CDIV,404
MMDCCLXXXII,2782
DCCCXLIII,843
1693,MDCXCIII
MCCLXIV,1264
MCMVI,1906
CX,110
1631,MDCXXXI
2636,MMDCXXXVI
  c  ,100
DCCLI,751
1682,MDCLXXXII
2064,MMLXIV
DCCV,705
368,CCCLXVIII
2074,MMLXXIV
855,DCCCLV
MDCCXXII,1722
MDCCXI,1711
CXCVI,196
1946,MCMXLVI
2072,MMLXXII
CDLIII,453
2938,MMCMXXXVIII
318,CCCXVIII
190,CXC
MMDCXVI,2616
MMLXXXII,2082
2165,MMCLXV
67,LXVII
MMCXCV,2195
2556,MMDLVI
MDCCCLXXIII,1873
2822,MMDCCCXXII
CXLI,141
MDI,1501
MMCCCXL,2340
2376,MMCCCLXXVI
2907,MMCMVII
2893,MMDCCCXCIII
1982,MCMLXXXII
MMCDLVIII,2458
MCDI,1401
707,DCCVII
DCXXVI,626
2304,MMCCCIV
2028,MMXXVIII
MXLVII,1047
MDCCXLII,1742
DVII,507
2941,MMCMXLI
DCCCXXXIV,834
1447,MCDXLVII
DCCCXL,840
2878,MMDCCCLXXVIII
2359,MMCCCLIX
1908,MCMVIII
MMCVII,2107
MMCDLXX,2470
MMCCCXXXVIII,2338
506,DVI
282,CCLXXXII
MMCCXXXII,2232
MDCLXIX,1669
CMXXXVII,937
DLI,551
1923,MCMXXIII
2665,MMDCLXV
MMCLX,2160
2743,MMDCCXLIII
MMCCCLXXXVII,2387
CDLXXIII,473
MMCMXLIV,2944
MCDLXXXVII,1487
DLXXXIV,584
2087,MMLXXXVII
1396,MCCCXCVI
260,CCLX
1113,MCXIII
MMCDXXXIX,2439
5,V
2658,MMDCLVIII
2950,MMCML
MMDCCCXXXVII,2837
MMLXVIII,2068
1479,MCDLXXIX
MMDCCXCIX,2799
MMCDXCIV,2494
MMCLXII,2162
MMCLXV,2165
424,CDXXIV
2578,MMDLXXVIII
2818,MMDCCCXVIII
MMCLV,2155
CCCXCIII,393
MDCLXXXI,1681
2398,MMCCCXCVIII
MMM,3000
2345,MMCCCXLV
CMXCI,991
MLV,1055
MDLXI,1561
1147,MCXLVII
1962,MCMLXII
1753,MDCCLIII
1924,MCMXXIV
MCXXVI,1126
CXCIII,193
MLXXV,1075
MCLXXX,1180
MCCCXLVI,1346
1191,MCXCI
1384,MCCCLXXXIV
2545,MMDXLV
CCVI,206
596,DXCVI
MMDXLVII,2547
2196,MMCXCVI
636,DCXXXVI
2488,MMCDLXXXVIII
MMCCCXCIX,2399
2616,MMDCXVI
MDCCLVII,1757
2834,MMDCCCXXXIV
1671,MDCLXXI
1184,MCLXXXIV
LXVIII,68
MMCCCLXXIV,2374
C,100
MMDXVI,2516
157,CLVII
2208,MMCCVIII
MCCCVI,1306
DCCLXVI,766
755,DCCLV
MCXLIV,1144
MCDXXVI,1426
MMCLXIII,2163
DVIII,508
MMDCLXVII,2667
MDCCXVI,1716
MMDXXVI,2526
MCDLXXXII,1482
MCDXXXIX,1439
MCCCVIII,1308
2647,MMDCXLVII
DCCLXXXV,785
2966,MMCMLXVI
2257,MMCCLVII
2584,MMDLXXXIV
MDCCCLXII,1862
MMCDLXXV,2475
CLI,151
2871,MMDCCCLXXI
2468,MMCDLXVIII
DCLI,651
2884,MMDCCCLXXXIV
XCV,95
418,CDXVIII
1604,MDCIV
MCLXXXVIII,1188
70,LXX
MDCIV,1604
1774,MDCCLXXIV
1829,MDCCCXXIX
1040,MXL
1456,MCDLVI
1103,MCIII
MMDCCCX,2810
CDXI,411
563,DLXIII
1568,MDLXVIII
CDLXXVII,477
2062,MMLXII
MDCLXXVIII,1678
DCLVIII,658
MCCCLXXV,1375
XII,12
2166,MMCLXVI
1767,MDCCLXVII
MCCXV,1215
311,CCCXI
MMDCLXI,2661
MXCVI,1096
CXII,112
771,DCCLXXI
1949,MCMXLIX
386,CCCLXXXVI
632,DCXXXII
8,VIII
1096,MXCVI
MMCD,2400
XXXIX,39
440,CDXL
CL,150
MCDXXVII,1427
MMCXVIII,2118
MMXXIII,2023
MMCLXXXVI,2186
2675,MMDCLXXV
DCX,610
340,CCCXL
CCLVI,256
MCMLXI,1961
CMIX,909
MCI,1101
1833,MDCCCXXXIII
1788,MDCCLXXXVIII
CMLXXII,972
DCXCVI,696
1431,MCDXXXI
MMXXVIII,2028
MDXXXVII,1537
MCXII,1112
277,CCLXXVII
292,CCXCII
MMDCCCLXXXVI,2886
2631,MMDCXXXI
2201,MMCCI
1119,MCXIX
CCCLXXXVII,387
MMDCCXXV,2725
126,CXXVI
MCDXLV,1445
CCCLX,360
